customer_id,name,email,city,country,signup_date
148606e4-798d-41dd-9814-67cbdb54bd78,Patricia Porter,ktorres@example.org,Karenborough,Congo,2025-11-27
ee1d4786-a24f-41bd-ac69-a9a01e649b1c,Cameron Walsh,boydadam@example.net,Lake Ryan,Liberia,2025-12-22
8f4f2ab0-d9d7-44bf-ae6e-db33c4d5c9b3,Daniel Munoz,angelica95@example.net,Port Johnside,Austria,2024-04-15
48ae5256-5e4c-4273-8e13-7c0b41b695c9,Rachel Tran,jeffreymcdaniel@example.com,Edwardmouth,Cameroon,2025-05-22
a2f9eb5b-bed9-4129-8ab9-c84953f31c65,Roy Garcia,joseph84@example.org,Lake Sarah,Philippines,2023-07-05
f2d88749-f053-41cd-9f10-6c24ac5734c3,Jamie Cobb,mullinsleah@example.com,Palmermouth,Afghanistan,2025-03-06
141e9c01-3303-495a-8d90-94ffea3ffd92,Jessica Werner,ymacdonald@example.net,East Michaelchester,Cyprus,2024-12-11
05c01fdc-1904-4416-9b46-781fdd1606d0,Ray Lee,zanderson@example.org,East Johnstad,Morocco,2025-11-17
6b93961b-6150-4a47-b508-20908bc14004,Deborah Williams,calvinjohnson@example.org,Port Helenmouth,Myanmar,2023-10-28
1e5fcc7f-c6b7-4b72-b774-5c729a8ae74d,Kimberly Berger,hudsonjames@example.org,New David,Pakistan,2023-05-29
92342e11-1efa-4e46-a761-ac4492c07f5b,Vincent Marquez,qalexander@example.com,South Amandaberg,Mayotte,2026-02-28
cf910dce-4df5-44dc-aa0b-2c4ab256ec29,Lauren Ferguson,erika10@example.com,Glennview,Sao Tome and Principe,2024-07-17
a1bcd220-d185-41b8-a89e-416efbd6c258,Jessica Randolph,austin89@example.com,Michaelmouth,Djibouti,2026-01-24
3be817e2-b6dc-43c8-b00b-b3031ffaf9ef,John Wallace,rodriguezsue@example.net,North Jamesburgh,Congo,2025-04-24
6303feda-eb9d-430e-bbcb-9d9a10a620e3,David Travis,jasonrichardson@example.com,Samanthahaven,Finland,2025-04-08
428d0b56-06f6-4f89-88ca-e5de46ba35d2,Andrew Lewis,leestephen@example.org,Garyville,Peru,2025-04-05
01a56f09-63c6-423e-a2dd-ee69a8dde812,Trevor Crawford,yvonnenelson@example.net,East Travis,Equatorial Guinea,2024-10-25
7a496d1b-8a88-4470-b9eb-be8fc4484069,Seth Barnes,nancy74@example.com,East Josemouth,Syrian Arab Republic,2025-01-07
4794e507-2bc4-45a8-95be-ce21a715a4df,Patricia Butler,lunalogan@example.org,Lake Daniel,Bulgaria,2025-08-22
36e4f708-040a-4914-8451-40495e2e0176,Jade Torres,sean70@example.com,Robertberg,Maldives,2023-08-09
23755f7a-440f-4de1-aa9d-7a0959a19719,Brianna Johnson,rrobertson@example.com,Mcneilside,Kyrgyz Republic,2024-10-04
38cae106-4f78-43ca-b361-d49426d9a646,Deanna Escobar,samuelgill@example.com,Curtishaven,Nigeria,2025-08-16
87af6e0e-864e-429b-88a8-15536c17c506,Steven Edwards,wadejoel@example.net,Wadestad,Argentina,2026-03-02
b5a45931-5a06-446b-801e-a6a54459af6f,Carl Beltran,chadsnyder@example.org,Port William,San Marino,2025-06-20
352cfbf2-1b27-4367-862e-1b40293d8940,John Hickman,carneycourtney@example.com,Mcmahonbury,Turkmenistan,2026-02-28
97714a3a-eae2-488d-8263-4058776a9419,Matthew Miller,amy04@example.net,Karenberg,Uruguay,2023-11-08
a71159eb-b311-4c97-815f-77579d410316,Vincent Wood,lholloway@example.org,South Jessicaborough,Cyprus,2024-02-26
e3841527-308a-4ca3-8a39-420e7c734a21,Monica Williams,eric76@example.org,Port Madeline,Cameroon,2023-09-20
3223665a-82bd-4aa3-8690-e23d0e4f69ec,Eric Smith,wrodriguez@example.com,Youngtown,Dominica,2024-06-01
4e7f691e-f436-4d0c-8909-d8d09d1d1c6b,Kimberly Cunningham,vwilliams@example.com,Lake Katherineview,Mayotte,2023-09-08
f385aff5-6fba-4a02-9f99-67fa74bae4fa,Sara Sanders,kristengreen@example.org,Port Brittneyside,Morocco,2023-10-06
33cd42af-cba3-4831-8c02-cdc270f8c3f3,Diana Arnold,stephenssusan@example.org,Lake Kelly,Bangladesh,2025-02-14
a68a4e30-27ae-46ea-9492-75997fc88c50,Melanie Hawkins,anthonyhernandez@example.com,Olivershire,Nicaragua,2026-03-08
f6c97775-6fed-4c45-a8b4-e1bd7a88353e,Shelley Hernandez,tuckerkaren@example.net,Michaelview,Northern Mariana Islands,2025-11-17
df512102-3c1c-459a-bb5d-d41539a3bf2e,Rebecca Torres,shawtina@example.com,Elizabethtown,Belarus,2023-11-02
d14a13d3-1cbf-44d9-8d8f-789f415238ea,Daniel Olson,gonzalezlindsey@example.net,Jordanville,Congo,2023-10-26
07c4f2a8-3074-40c3-a598-81617b433f51,Katelyn Murphy,chloe06@example.net,Brettmouth,El Salvador,2023-04-14
b4bcb172-0b8e-4848-a90d-0cacc569fb0b,James Williams,matthewhernandez@example.org,Nelsonbury,Latvia,2026-03-04
35da606c-051c-4a44-9012-6b0ceec1ef17,Christopher Rice,hailey87@example.net,Hayesshire,Maldives,2023-09-10
d6277577-1e5a-492b-983e-b97b71c100d6,Dr. Derrick Snyder,cferguson@example.net,Foleyport,Sao Tome and Principe,2023-07-03
28990fad-7cec-4ae9-8ebd-48aed453ba76,Brooke Goodman,qgordon@example.org,Ronniefurt,Tunisia,2024-05-28
9052d56f-dc10-45c0-a02d-2ab2441add9b,Daniel Holmes,obrown@example.org,East Rachael,Brunei Darussalam,2024-07-22
